depth	MnO2	FeOOH	POC	FeS	FeS2	CaCO3	Age	BSi	NdnrPO4	NdrPO4	SurfMn_Ndnr	SurfMn_Ndr	SurfFe_Ndnr	SurfFe_Ndr	Illite	Basalt	O2	NO3	TMn	TFe	CH4	NO2	Ca	Al	TNH4	SO4	TNdnr	TNdr	TH4SiO4	TCO2	TH2S	TH3BO3	TH3PO4	H
0.406363494	0.013197071	0.059773835	3.804814086	5.32134E-56	1.71292E-05	0.168950832	1.914408411	2.580678242	9.09444E-05	4.66124E-05	3.43515E-06	1.76057E-06	1.10534E-05	5.66521E-06	0.194397308	0.127002589	6.60569E-05	3.76565E-05	1.41929E-06	1.58475E-08	2.99142E-16	2.16226E-07	0.010365094	2.19748E-08	3.60993E-07	0.027990115	1.7185E-10	8.80808E-11	0.000260811	0.002451467	2.03222E-06	8.70877E-05	3.09846E-06	1.92538E-08
0.425237087	0.01318297	0.059779371	3.804273048	5.60983E-56	1.71323E-05	0.168596451	1.999714564	2.579788915	9.09618E-05	4.66213E-05	3.41687E-06	1.7512E-06	1.1054E-05	5.66553E-06	0.194408241	0.126922264	6.54737E-05	3.75512E-05	1.49777E-06	1.56034E-08	3.05203E-16	2.23395E-07	0.010366402	2.17581E-08	3.74595E-07	0.027989677	1.76861E-10	9.06489E-11	0.000263578	0.002454359	2.12339E-06	8.70881E-05	3.1112E-06	1.92404E-08
0.444588467	0.01316852	0.059785038	3.80372061	5.93494E-56	1.71356E-05	0.168236734	2.086858092	2.578885521	9.09795E-05	4.66304E-05	3.39815E-06	1.74161E-06	1.10547E-05	5.66586E-06	0.194419405	0.126840216	6.48777E-05	3.74427E-05	1.58028E-06	1.5441E-08	3.11579E-16	2.3074E-07	0.01036773	2.15329E-08	3.88354E-07	0.027989226	1.8188E-10	9.32212E-11	0.000266391	0.002457311	2.2172E-06	8.70885E-05	3.12424E-06	1.92277E-08
0.46442973	0.013153713	0.05979084	3.80315659	6.3019E-56	1.71388E-05	0.167871658	2.175870333	2.577968054	9.09977E-05	4.66397E-05	3.379E-06	1.73179E-06	1.10553E-05	5.6662E-06	0.194430803	0.126756414	6.42688E-05	3.73312E-05	1.66711E-06	1.53577E-08	3.18293E-16	2.38264E-07	0.010369077	2.13011E-08	4.02275E-07	0.027988762	1.86906E-10	9.57976E-11	0.00026925	0.002460324	2.31372E-06	8.70889E-05	3.13761E-06	1.92155E-08
0.484773276	0.013138539	0.059796778	3.802580807	6.71688E-56	1.71422E-05	0.167501204	2.266782731	2.577036519	9.10163E-05	4.66492E-05	3.3594E-06	1.72175E-06	1.1056E-05	5.66653E-06	0.194442439	0.12667083	6.36467E-05	3.72163E-05	1.75863E-06	1.53512E-08	3.25367E-16	2.45972E-07	0.010370444	2.10641E-08	4.16364E-07	0.027988285	1.91941E-10	9.83781E-11	0.000272155	0.0024634	2.41306E-06	8.70893E-05	3.1513E-06	1.92039E-08
0.505631822	0.013122988	0.059802857	3.801993077	7.18712E-56	1.71456E-05	0.167125356	2.359626805	2.576090936	9.10354E-05	4.6659E-05	3.33935E-06	1.71147E-06	1.10566E-05	5.66687E-06	0.194454316	0.126583435	6.30114E-05	3.70981E-05	1.85521E-06	1.54193E-08	3.32828E-16	2.5387E-07	0.01037183	2.08231E-08	4.30629E-07	0.027987794	1.96983E-10	1.00963E-10	0.000275107	0.002466539	2.51532E-06	8.70896E-05	3.16533E-06	1.91929E-08
0.527018405	0.01310705	0.059809079	3.801393221	7.7212E-56	1.71492E-05	0.166744102	2.454434125	2.575131336	9.10549E-05	4.66691E-05	3.31884E-06	1.70096E-06	1.10573E-05	5.6672E-06	0.194466438	0.1264942	6.23624E-05	3.69763E-05	1.95726E-06	1.556E-08	3.40704E-16	2.61964E-07	0.010373237	2.05794E-08	4.45077E-07	0.02798729	2.02034E-10	1.03551E-10	0.000278105	0.002469745	2.62061E-06	8.70899E-05	3.17971E-06	1.91826E-08
0.548946392	0.013090713	0.059815448	3.800781058	8.32929E-56	1.71528E-05	0.166357436	2.551236276	2.574157766	9.1075E-05	4.66793E-05	3.29785E-06	1.6902E-06	1.1058E-05	5.66754E-06	0.194478808	0.126403096	6.16998E-05	3.6851E-05	2.06524E-06	1.57718E-08	3.49026E-16	2.7026E-07	0.010374663	2.03338E-08	4.59716E-07	0.02798677	2.07092E-10	1.06144E-10	0.00028115	0.002473016	2.72904E-06	8.70902E-05	3.19445E-06	1.91729E-08
0.571429488	0.013073967	0.059821967	3.800156407	9.02355E-56	1.71565E-05	0.165965357	2.650064828	2.573170287	9.10955E-05	4.66899E-05	3.27638E-06	1.6792E-06	1.10586E-05	5.66787E-06	0.194491431	0.126310093	6.10231E-05	3.67219E-05	2.17967E-06	1.60532E-08	3.57828E-16	2.78764E-07	0.010376111	2.00872E-08	4.74556E-07	0.027986236	2.12159E-10	1.0874E-10	0.000284242	0.002476357	2.84073E-06	8.70904E-05	3.20955E-06	1.91639E-08
0.594481746	0.013056801	0.05982864	3.799519091	9.81853E-56	1.71602E-05	0.165567866	2.750951299	2.572168976	9.11166E-05	4.67006E-05	3.25441E-06	1.66794E-06	1.10593E-05	5.66821E-06	0.194504308	0.126215163	6.03324E-05	3.65888E-05	2.3011E-06	1.64031E-08	3.67145E-16	2.87483E-07	0.010377578	1.98401E-08	4.89608E-07	0.027985685	2.17234E-10	1.11342E-10	0.00028738	0.002479767	2.95579E-06	8.70906E-05	3.22503E-06	1.91556E-08
0.618117575	0.013039201	0.059835469	3.798868932	1.07317E-55	1.71641E-05	0.165164973	2.853927118	2.571153926	9.11381E-05	4.67117E-05	3.23195E-06	1.65643E-06	1.10599E-05	5.66854E-06	0.194517445	0.126118278	5.96273E-05	3.64518E-05	2.43016E-06	1.68208E-08	3.7702E-16	2.96425E-07	0.010379067	1.95932E-08	5.04881E-07	0.027985119	2.22319E-10	1.13948E-10	0.000290566	0.002483248	3.07437E-06	8.70908E-05	3.24089E-06	1.91481E-08
0.642351748	0.013021155	0.059842458	3.798205756	1.17843E-55	1.71681E-05	0.164756693	2.959023587	2.570125246	9.11602E-05	4.6723E-05	3.20898E-06	1.64465E-06	1.10606E-05	5.66887E-06	0.194530844	0.126019408	5.89076E-05	3.63105E-05	2.56754E-06	1.73058E-08	3.87496E-16	3.05597E-07	0.010380576	1.93469E-08	5.20388E-07	0.027984536	2.27415E-10	1.1656E-10	0.000293798	0.002486802	3.1966E-06	8.7091E-05	3.25716E-06	1.91413E-08
0.667199412	0.013002649	0.059849611	3.797529389	1.3002E-55	1.71721E-05	0.164343046	3.066271832	2.569083062	9.11828E-05	4.67346E-05	3.18548E-06	1.63261E-06	1.10612E-05	5.6692E-06	0.194544509	0.125918526	5.81733E-05	3.61649E-05	2.714E-06	1.78581E-08	3.98622E-16	3.15008E-07	0.010382107	1.91016E-08	5.36143E-07	0.027983935	2.32522E-10	1.19177E-10	0.000297078	0.002490431	3.32262E-06	8.70911E-05	3.27384E-06	1.91352E-08
0.692676098	0.01298367	0.059856932	3.796839661	1.44162E-55	1.71763E-05	0.163924062	3.175702766	2.568027521	9.1206E-05	4.67465E-05	3.16146E-06	1.6203E-06	1.10618E-05	5.66953E-06	0.194558443	0.125815604	5.7424E-05	3.60148E-05	2.87041E-06	1.84779E-08	4.10453E-16	3.24666E-07	0.010383658	1.88575E-08	5.5216E-07	0.027983316	2.37641E-10	1.21801E-10	0.000300404	0.002494136	3.45259E-06	8.70911E-05	3.29094E-06	1.91299E-08
0.718797729	0.012964203	0.059864423	3.796136403	1.60654E-55	1.71805E-05	0.163499775	3.287347035	2.566958786	9.12297E-05	4.67586E-05	3.1369E-06	1.60771E-06	1.10625E-05	5.66985E-06	0.19457265	0.125710613	5.66597E-05	3.586E-05	3.03772E-06	1.91661E-08	4.23048E-16	3.34583E-07	0.010385232	1.86149E-08	5.68455E-07	0.027982679	2.42773E-10	1.24431E-10	0.000303778	0.00249792	3.58666E-06	8.70912E-05	3.30847E-06	1.91254E-08
